,Problem.,Description,Etiqueta,Fecha,Month,Year,Locacion,CON_TRAMPA,BTN_VIVO,BTN_PERF,BTN_SECO,NUM_INFLOR,NUM_FLOR,NUM_RFV,NUM_FV,NUM_RFM,NUM_FM,NUM_RAC_SECO,COD_VIEJO,Notas,X,month_year,cat DELETE,count DELETE
71,,,55,17-May-08,MAY,2008,SH730 45ME.W,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-May,5539585MAY2008SH730 45ME.WNO0000000000043593,1
72,,,56,17-May-08,MAY,2008,SH730 45ME.W,NO,0,0,0,0,0,0,0,0,0,0,0,,,8-May,5639585MAY2008SH730 45ME.WNO0000000000043593,1
73,,,57,17-May-08,MAY,2008,SH740 35ME.W,NO,0,0,0,1,e,0,0,0,0,0,0,,,8-May,5739585MAY2008SH740 35ME.WNO0001e00000043593,1
74,,,58,17-May-08,MAY,2008,SH740 30ME.W,NO,0,0,1,0,0,0,0,0,0,0,0,,,8-May,5839585MAY2008SH740 30ME.WNO0010000000043593,1
75,,,59,17-May-08,MAY,2008,SH720 1ME.E,NO,0,0,0,0,0,0,0,0,0,0,710,,,8-May,5939585MAY2008SH720 1ME.ENO000000000071043593,1
76,,,60,17-May-08,MAY,2008,SH720 5ME.E,NO,0,0,0,0,0,0,0,0,0,0,711,Adulto,,8-May,6039585MAY2008SH720 5ME.ENO0000000000711Adulto43593,1
77,,,61,17-May-08,MAY,2008,SH720 10M.E,NO,0,0,0,0,0,0,0,0,0,0,706,Adulto,,8-May,6139585MAY2008SH720 10M.ENO0000000000706Adulto43593,1
78,,,69,17-May-08,MAY,2008,SH720 70M.W,NO,0,0,0,0,0,0,0,0,0,0,0,Adulto,,8-May,6939585MAY2008SH720 70M.WNO00000000000Adulto43593,1
79,,,71,17-May-08,MAY,2008,SH720 70M.W,NO,0,0,0,0,0,0,0,0,0,0,0,Adulto,,8-May,7139585MAY2008SH720 70M.WNO00000000000Adulto43593,1
80,,,72,17-May-08,MAY,2008,SH700 100M.W,NO,0,0,0,0,0,0,0,0,0,0,0,Adulto,,8-May,7239585MAY2008SH700 100M.WNO00000000000Adulto43593,1
81,,,74,17-May-08,MAY,2008,SH700 30M.W,NO,0,0,0,0,0,0,0,0,0,0,0,Adulto,,8-May,7439585MAY2008SH700 30M.WNO00000000000Adulto43593,1
82,,,75,17-May-08,MAY,2008,SH700 10M.W,NO,0,0,0,0,0,0,0,0,0,0,0,Adulto,,8-May,7539585MAY2008SH700 10M.WNO00000000000Adulto43593,1
83,,,76,17-May-08,MAY,2008,SH680 1M.W,NO,0,0,0,0,0,0,0,0,0,0,0,Adulto,,8-May,7639585MAY2008SH680 1M.WNO00000000000Adulto43593,1
84,,,82,17-May-08,MAY,2008,SH650 30M.W,NO,0,0,0,1,f,0,0,0,0,0,0,Adulto,,8-May,8239585MAY2008SH650 30M.WNO0001f000000Adulto43593,1
85,,,83,17-May-08,MAY,2008,SH640 100M.W,NO,0,0,0,0,0,0,0,0,0,0,0,Adulto,,8-May,8339585MAY2008SH640 100M.WNO00000000000Adulto43593,1
86,,,84,17-May-08,MAY,2008,SH630 100M.W,NO,0,0,0,0,0,0,0,0,0,0,0,Adulto,,8-May,8439585MAY2008SH630 100M.WNO00000000000Adulto43593,1
87,,,86,17-May-08,MAY,2008,SH630 150M.W,NO,0,0,0,0,0,0,0,0,0,0,0,Adulto,,8-May,8639585MAY2008SH630 150M.WNO00000000000Adulto43593,1
